Month,Air RPM (000s),Rail PM,VMT (billions)
01/07/1994,52410979,578257564,214.777
01/08/1994,53235052,587229076,215.046
01/09/1994,44677623,490032783,200.511
01/10/1994,45845403,493619903,202.864
01/11/1994,42230318,477594716,190.073
01/12/1994,43868116,490779357,193.086
01/01/1995,42050940,425207429,183.617
01/02/1995,38580784,393268412,172.522
01/03/1995,47390145,489360683,202.408
01/04/1995,45427499,490903635,199.527
01/05/1995,45915722,511120586,213.564
01/06/1995,49992583,542693418,212.282
01/07/1995,53345749,571259638,217.719
01/08/1995,54776466,580982161,219.873
01/09/1995,45589237,451385426,204.323
01/10/1995,46993036,441202778,206.99
01/11/1995,43703386,435470011,195.409
01/12/1995,45015358,444598571,194.585
01/01/1996,42734234,362022328,183.737
01/02/1996,43056589,343413949,176.819
01/03/1996,51646570,416042895,204.469
01/04/1996,48063492,425092726,205.557
01/05/1996,49808809,467573082,218.999
01/06/1996,53774378,476554648,215.871
01/07/1996,56576582,525954361,225.44
01/08/1996,58714135,551695523,229.385
01/09/1996,47857913,412344840,207.908
01/10/1996,49873317,425991795,215.972
01/11/1996,44696485,389249720,199.937
01/12/1996,49361193,437256586,201.754
01/01/1997,46692784,337798678,190.126
01/02/1997,43761932,337893100,183.951
01/03/1997,54755166,416925515,211.952
01/04/1997,50182894,408488665,211.29
01/05/1997,51979543,444032624,226.082
01/06/1997,55462027,481053743,222.254
01/07/1997,58771317,540293509,236.713
01/08/1997,60496856,552486079,233.497
01/09/1997,50076953,425814893,213.548
01/10/1997,51846329,445858326,221.219
01/11/1997,47743798,441249575,202.422
01/12/1997,50414361,454400575,207.322
01/01/1998,47290992,371355589,196.871
01/02/1998,44641209,326874247,187.167
01/03/1998,54453961,426172239,214.222
01/04/1998,53044174,447877815,217.921
01/05/1998,54302581,462341914,227.901
01/06/1998,57335447,482325897,228.732
01/07/1998,59441840,537481124,239.944
01/08/1998,60813085,526444502,237.143
01/09/1998,49560508,430364874,219.461
01/10/1998,53463147,444719403,228.523
01/11/1998,49561082,427669956,211.178
01/12/1998,51024977,459051399,216.304
01/01/1999,48861094,384824724,194.436
01/02/1999,46158194,350270063,192.333
01/03/1999,57761057,436837107,221.739
01/04/1999,54968382,435360347,221.979
01/05/1999,55469960,450054655,231.814
01/06/1999,59918608,496553598,237.016
01/07/1999,64397523,543923323,244.198
01/08/1999,63752132,528001216,242.568
01/09/1999,53733696,393137094,225.303
01/10/1999,57407208,425897553,234.661
01/11/1999,53866781,421595015,222.831
01/12/1999,52331272,442742459,222.458
01/01/2000,49745428,366607410,203.582
01/02/2000,49876910,366139276,199.638
01/03/2000,61378569,453096388,232.627
01/04/2000,58981617,473751011,227.808
01/05/2000,61165486,481725263,242.108
01/06/2000,65524091,517102460,243.012
01/07/2000,67883256,564747276,245.083
01/08/2000,66924512,558060051,247.77
01/09/2000,56441629,446489429,227.328
01/10/2000,58834210,462329685,236.554
01/11/2000,56283261,442268378,222.799
01/12/2000,55380280,461651082,218.436
01/01/2001,53129922,379458113,209.259
01/02/2001,49992995,366288212,199.909
01/03/2001,62323049,448912584,231.489
01/04/2001,59801562,455496342,231.365
01/05/2001,60246477,462376555,244.252
01/06/2001,64987625,528690495,242.579
01/07/2001,68573410,564037290,248.785
01/08/2001,69003617,562266005,251.688
01/09/2001,39106905,446266947,224.571
01/10/2001,44271037,452095235,240
01/11/2001,45245063,446094295,229.479
01/12/2001,48167518,479188434,228.087
01/01/2002,46587818,398440459,213.808
01/02/2002,45157533,397948828,206.462
01/03/2002,57423155,461087451,234.005
01/04/2002,53013066,453147413,234.809
01/05/2002,55663570,461648459,249.886
01/06/2002,60224150,499751748,246.389
01/07/2002,62570110,564046073,254.194
01/08/2002,62881793,516103068,256.244
01/09/2002,48925997,385097846,230.597
01/10/2002,52779975,399248774,243.289
01/11/2002,48902677,375996408,228.389
01/12/2002,55355434,448246102,231.262
01/01/2003,50602700,393287373,216.6
01/02/2003,46455943,390041481,201.9
01/03/2003,56033121,472573962,236.7
01/04/2003,51146721,483653074,238.1
01/05/2003,53591384,489484678,253.2
01/06/2003,59426357,531138943,252
01/07/2003,65041408,578767927,261.3
01/08/2003,64095456,557897322,259.6
01/09/2003,51347366,427807444,236
01/10/2003,55810667,463025617,253.4
01/11/2003,53249129,448181812,233.3
01/12/2003,57795908,489403554,237.6
01/01/2004,53447972,410338691,217.3
01/02/2004,52608801,389778365,210.4
01/03/2004,63600019,453014590,247.5
01/04/2004,61887720,471116666,245.4
